R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45474.00035879629,45474.04944444444,51D13520,25735684,51R19086,13520,OERU2008653,2230,HBCX,R38606070,G02,G04
D,45474.00047453704,45474.0233912037,50H16471,25735685,50RM00603,16471,MSKU1889346,4500,GTHA,D38606071,A02,B08
R,45474.00064814815,45474.00927083333,50H24668,25735686,50R03559,24668,FFAU1736180,4500,HBCX,R38606073,A02,A05
R,45474.00064814815,45474.04876157407,50H02801,25735687,51R34330,02801,ONEU2143157,2200,HBCX,R38606068,B04,E01
R,45474.00064814815,45474.026087962964,50H06671,25735688,51R21176,06671,CXRU1631161,4530,HBCX,R38606072,D02,G04
R,45474.00101851852,45474.06361111111,65N0480,25735689,65R00635,N0480,SEKU9302556,4530,HBCX,R38606074,D02,E01
D,45474.00101851852,45474.06361111111,65N0480,25735689,65R00635,N0480,OTPU6255709,4530,CAPR,E38606273,D02,E01
D,45474.001064814816,45474.00667824074,51D41337,25735690,70R00892,41337,BEAU2176742,2200,GTHA,D38606075,A02,A05
D,45474.001180555555,45474.037256944444,50H06136,25735691,51R11750,06136,RYDU2626876,2270,CRCD,D38606076,B04,B08
R,45474.00131944445,45474.022256944445,81C07008,25735692,61R02147,07008,EGSU3184150,2200,HBCX,R38606077,G02,G04
R,45474.00137731482,45474.019733796296,50H01824,25735693,51R12097,01824,KKFU6722267,4530,HBCX,R38606078,D02,G04
D,45474.00145833333,45474.012037037035,70C15082,25735694,65R00408,15082,TEMU0326522,2200,GTHA,D38606079,B04,B08
R,45474.0015625,45474.016168981485,67C09899,25735695,67R00112,09899,TTNU8967145,4530,HBCX,R38606080,D02,B08
R,45474.00166666666,45474.00974537037,70C10230,25735696,70R00508,10230,CSNU1715924,2200,HBCX,R38606081,B04,B08
R,45474.001747685186,45474.015555555554,67H02134,25735697,67R00129,02134,GMDU5180211,4530,HBCX,R38606082,D02,B08
R,45474.00177083333,45474.01472222222,65H00060,25735698,65RM00015,00060,KKTU6079659,2230,HBCX,R38606083,E04,B08
R,45474.00189814815,45474.026666666665,77H02488,25735699,51R34504,02488,OERU4177040,4530,HBCX,R38606084,D02,G04
R,45474.00202546296,45474.01835648148,50H02409,25735700,51R27342,02409,SEKU5757428,4500,HBCX,R38606086,B04,B08
R,45474.00212962963,45474.016689814816,51D48098,25735701,,48098,TLLU2957235,2200,NHAR,R38606043,E04,G04
R,45474.00212962963,45474.016689814816,51D48098,25735701,,48098,FYCU7053200,2200,NHAR,R38606048,E04,G04
D,45474.00221064815,45474.01133101852,50H09296,25735702,51R26196,09296,MWLU2170369,2200,GTHA,D38606088,A02,A05
R,45474.00224537037,45474.02379629629,51D09192,25735703,51R30478,09192,SEGU9972065,4530,HBCX,R38606089,D02,G04
R,45474.00232638889,45474.01430555555,SM-123,25735704,51R04028,2394,CAIU9609181,4500,HANG,R38606090,B04,B08
D,45474.0024537037,45474.02297453704,50H05794,25735705,51R13563,05794,EITU0307583,2200,GTHA,D38606091,A02,G04
D,45474.00252314815,45474.02065972222,50H40726,25735706,51R32045,40726,ONEU0038168,4500,GTHA,D38606092,G02,G04
R,45474.00287037037,45474.050717592596,51D30719,25735707,51R22791,30719,DFSU1141054,2200,HBCX,R38606093,B04,B08
D,45474.00287037037,45474.050717592596,51D30719,25735707,51R22791,30719,WHSU5802788,4500,GTHA,D38606096,B04,B08
R,45474.002962962964,45474.0333912037,51C67665,25735708,51R02434,67665,TCLU1810853,4500,HBCX,R38606094,A02,G04
D,45474.002962962964,45474.0333912037,51C67665,25735708,51R02434,67665,ONEU5425350,4500,GTHA,D38606098,A02,G04
R,45474.00299768519,45474.015231481484,51C70830,25735709,,70830,SITU2603309,2200,NHAR,R38606069,E04,E01
R,45474.00318287037,45474.01594907408,51C14455,25735710,51R25376,14455,CAIU6386680,2200,HBCX,R38606095,A02,A05
D,45474.00334490741,45474.02438657408,51D16218,25735711,72R00887,16218,DRYU2718978,2200,GTHA,D38606097,B04,G04
D,45474.00361111111,45474.03886574074,51C66237,25735712,51R12113,66237,TWCU8127272,4500,GTHA,D38606099,A02,A05
R,45474.003645833334,45474.01986111111,70C05455,25735713,70R01092,05455,HASU1241919,2200,HBCX,R38606100,B04,E01
R,45474.00377314815,45474.01398148148,70H00789,25735714,70R01174,00789,CAIU2461683,2200,HBCX,R38606101,A02,B08
D,45474.00381944444,45474.0178125,50H25334,25735715,51R51170,25334,TEMU0284324,2200,GTHA,D38606102,B04,B08
R,45474.00386574074,45474.02280092592,65C10425,25735716,65R00978,10425,FSCU5324594,4530,HBCX,R38606103,D02,G04
D,45474.00405092593,45474.025868055556,50H24640,25735717,51R51081,24640,FFAU3476586,4500,GTHA,D38606104,B04,G04
R,45474.004328703704,45474.030127314814,51C95618,25735718,51R17259,95618,UETU5508594,4500,HBCX,R38606105,B04,B08
D,45474.004375,45474.01678240741,51C64135,25735719,51R09121,64135,CAAU5224960,4500,GTHA,D38606106,A02,A05
R,45474.00454861111,45474.01996527778,50H14125,25735720,51R24546,14125,MOAU1434000,2200,HBCX,R38605847,B04,B08
D,45474.00457175926,45474.017905092594,50H44990,25735721,51R20674,44990,WHSU5368579,4500,GTHA,D38606107,A02,B08
D,45474.00471064815,45474.018541666665,61C20610,25735722,51R7668,20610,CULU6326623,4500,GTHA,D38606109,A02,A05
D,45474.00491898148,45474.0190162037,51D38468,25735723,51R12897,38468,OOLU8680730,4500,GTHA,D38606110,B04,B08
D,45474.005162037036,45474.02961805555,61C38338,25735724,50R03925,38338,IAAU2843251,2200,GTHA,D38605888,B04,B08
R,45474.00537037037,45474.02829861111,SM-39,25735725,50R01080,13197,TEMU7540182,4500,HANG,R38606111,A02,G04
D,45474.005636574075,45474.02774305556,50H25576,25735726,50RM02358,25576,SEKU1554850,2200,GTHA,D38606112,G02,E01
R,45474.00592592593,45474.02123842593,70G00390,25735727,51R33736,00390,WHSU2627697,2200,HBCX,R38606114,A02,G04
D,45474.0059837963,45474.06466435185,49H00281,25735728,51R23740,00281,CAAU6193502,4500,GTHA,D38606113,G02,G04
D,45474.006157407406,45474.02076388889,51C69653,25735729,51R15946,69653,WHSU2056880,2200,GTHA,D38606115,D02,A05
D,45474.00625,45474.01944444444,51C95827,25735730,51R19491,95827,TCKU4672030,4200,GTHA,D38606116,A02,A05
R,45474.006423611114,45474.02230324074,65C01621,25735731,65R00338,01621,YMLU5395308,4530,HBCX,R38606117,D02,E01
R,45474.006736111114,45474.02947916667,65C06041,25735732,65R00113,06041,TCLU1915453,2230,HBCX,R38606120,D02,G04
R,45474.006736111114,45474.032013888886,51D32170,25735733,51R31070,32170,FFAU1024503,4500,HBCX,R38606118,B04,G04
D,45474.006736111114,45474.032013888886,51D32170,25735733,51R31070,32170,CKSU2215360,2200,GTHA,D38606119,B04,G04
R,45474.006875,45474.0253125,51C88911,25735734,51R33522,88911,SEKU9103195,4530,HBCX,R38606122,D02,G04
D,45474.0072337963,45474.016921296294,50H07433,25735735,51R26446,07433,OOLU1616240,2200,GTHA,D38606123,B04,E01
R,45474.00730324074,45474.03457175926,50H22866,25735736,51R17551,22866,HMMU6293272,4500,HBCX,R38606124,A02,G04
D,45474.00730324074,45474.03457175926,50H22866,25735736,51R17551,22866,NBYU8071384,4500,GTHA,D38606125,A02,G04
D,45474.007418981484,45474.028402777774,61E01553,25735737,61R05430,01553,DRYU2375903,2200,GTHA,D38606108,G02,G04
R,45474.00770833333,45474.01548611111,50H45742,25735738,51R13231,45742,TWCU2141479,2200,HBCX,R38606127,A02,A05
D,45474.00791666667,45474.039293981485,63H01391,25735739,51R17157,01391,SITU2672418,2200,GTHA,D38606128,B04,G04
R,45474.00815972222,45474.01810185185,51D37948,25735740,51R32833,37948,CMAU3115543,2200,HBCX,R38606129,A02,B08
R,45474.00818287037,45474.020625,51D68514,25735741,51R25939,68514,SEGU9705156,4530,HBCX,R38606132,D02,A05
D,45474.00818287037,45474.01503472222,51C49013,25735742,51R19659,49013,EITU9366205,4500,GTHA,D38606131,G02,G04
D,45474.00821759259,45474.02243055555,50H29485,25735743,50RM02832,29485,SEGU2564436,2200,GTHA,D38606130,B04,B08
R,45474.00844907408,45474.026504629626,71H01115,25735744,71R00233,01115,TCNU5866992,4500,HBCX,R38606133,B04,G04
R,45474.0087037037,45474.03973379629,50H17791,25735745,51R9669,17791,BSIU2677467,2200,HBCX,R38606134,B04,E01
R,45474.00896990741,45474.023506944446,50H25607,25735746,51R19571,25607,SEGU2998535,2200,HBCX,R38606135,B04,A05
R,45474.00913194445,45474.020208333335,63H02557,25735747,63R00942,02557,CAIU3146027,2200,HBCX,R38606136,E04,E01
R,45474.009409722225,45474.03109953704,61C33178,25735748,66R00128,33178,YMLU8650454,4500,HBCX,R38606138,G02,G04
D,45474.00945601852,45474.036087962966,61C12115,25735749,61R05420,12115,SEGU2463507,2200,GTHA,D38606139,E04,G04
D,45474.00945601852,45474.036087962966,61C12115,25735749,61R05420,12115,EGHU3311101,2200,GTHA,D38606121,E04,G04
R,45474.009930555556,45474.01943287037,65C07911,25735750,65R0105,07911,SEKU9022806,4530,HBCX,R38606140,D02,B08
R,45474.010092592594,45474.022199074076,51D05017,25735751,51R02264,05017,YMMU6301523,4500,HBCX,R38606141,A02,B08
D,45474.01039351852,45474.02306712963,50H06040,25735752,50RM01273,06040,BEAU2698372,2200,GTHA,D38606143,G02,G04
R,45474.010567129626,45474.030694444446,60C23934,25735753,60R02639,23934,TWCU8099611,4500,HBCX,R38606144,A02,G04
R,45474.01081018519,45474.01878472222,79C15432,25735754,79R00702,15432,XINU1574508,2200,HBCX,R38606145,B04,B08
R,45474.011400462965,45474.02369212963,51C75506,25735755,,75506,TLLU3502550,2200,NHAR,R38606142,E04,E01
R,45474.0115625,45474.022048611114,70C10338,25735756,70R01246,10338,FCIU5905603,2200,HBCX,R38606146,B04,A05
D,45474.011712962965,45474.02824074074,51D41596,25735757,51R25672,41596,WHSU6516393,4500,GTHA,D38606147,G02,B08
D,45474.011875,45474.0246875,51D61865,25735758,51R07558,61865,MRSU3074575,4500,GTHA,D38606148,A02,A05
D,45474.011921296296,45474.07148148148,72LD00976,25735759,72R01395,00976,MRKU6978357,2200,CAPR,E38606390,B04,E01
