R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45536.00033564815,45536.010347222225,70H04665,26323779,70R01323,04665,TGBU3495038,2200,HBCX,R39539028,G02,G04
D,45536.00033564815,45536.02043981481,71H01145,26323780,71R00057,01145,WHSU6047341,4500,GTHA,D39539078,B04,A05
R,45536.00033564815,45536.02043981481,71H01145,26323780,71R00057,01145,YMMU6819934,4500,HBCX,R39539083,B04,A05
R,45536.000497685185,45536.01248842593,51C85850,26323781,51R17265,85850,OOLU6264991,4530,HBCX,R39539080,D01,B08
D,45536.000601851854,45536.01892361111,61C05004,26323782,61R01689,05004,TXGU5424714,4500,GTHA,D39539079,B02,E10
R,45536.00079861111,45536.028182870374,51D25478,26323783,51R09198,25478,HLBU9736419,2230,HBCX,R39539081,D01,G04
R,45536.000868055555,45536.023125,51D33592,26323784,51R50882,33592,BEAU4883148,4500,HBCX,R39539084,B02,E10
D,45536.00127314815,45536.03768518518,70H04434,26323785,,04434,WHLU0308632,2200,CAPR,E39539065,E02,E10
D,45536.00127314815,45536.03768518518,70H04434,26323785,,04434,WHLU0440490,2200,CAPR,E39539061,E02,E10
D,45536.00134259259,45536.01819444444,61C35796,26323786,61R05528,35796,MSKU1850679,4500,GTHA,D39539091,B04,B08
R,45536.00134259259,45536.01819444444,61C35796,26323786,61R05528,35796,FCIU4709946,2200,HBCX,R39539087,B04,B08
R,45536.001435185186,45536.02190972222,50H17271,26323787,51R24606,17271,HLBU9661475,4530,HBCX,R39539088,D01,G04
R,45536.001493055555,45536.021261574075,70H00398,26323788,70R00609,00398,TWCU2157393,2200,HBCX,R39539089,B02,E10
R,45536.00162037037,45536.074537037035,50H23547,26323789,50RM02704,23547,OERU4145418,4530,HBCX,R39539090,D01,E10
R,45536.001875,45536.022141203706,50H24942,26323790,51R13236,24942,NSSU7058894,4500,HBCX,R39539092,A02,B08
R,45536.00199074074,45536.026712962965,71H01313,26323791,71R00139,01313,TGBU2201606,2200,HBCX,R39539093,B02,B08
R,45536.00202546296,45536.01359953704,50H44807,26323792,,44807,WHSU6346297,4500,NHAR,R39539070,E02,G04
R,45536.00208333333,45536.022627314815,86C09066,26323793,86R0246,09066,HLBU9704638,4530,HBCX,R39539094,G02,G04
R,45536.00221064815,45536.027916666666,51C42885,26323794,51R15181,42885,EMCU5676377,4530,HBCX,R39539095,D01,G04
D,45536.002488425926,45536.0134837963,71C02358,26323795,71R00076,02358,TEMU8913980,4500,GTHA,D39539096,A02,B08
D,45536.00274305556,45536.03403935185,50H35382,26323796,50RM01533,35382,DRYU9912590,4500,GTHA,D39539097,G02,G04
R,45536.0027662037,45536.01751157407,50H45229,26323797,50RM02232,45229,CAAU2374647,2200,HBCX,R39539100,A02,G04
R,45536.00277777778,45536.01510416667,61H09778,26323798,51R12521,09778,FCIU4695009,2200,HBCX,R39539101,A03,B08
R,45536.00292824074,45536.013819444444,70H03873,26323799,70R02233,03873,FCIU5227825,2200,HBCX,R39539103,A03,G04
R,45536.00293981482,45536.03876157408,51D04629,26323800,,04629,EGHU3244493,2200,NHAR,R39539082,E02,G04
R,45536.00299768519,45536.0468287037,50H24846,26323801,50RM00177,24846,YMLU5382002,4530,HBQC,R39539102,D02,B08
R,45536.003020833334,45536.06091435185,86C11265,26323802,86R00731,11265,UACU4786106,4530,HBCX,R39539104,G02,G04
D,45536.00304398148,45536.02206018518,50H44646,26323803,51R07048,44646,TRHU8499940,4500,GTHA,D39539099,B04,B08
D,45536.00304398148,45536.06072916667,86C11265,26323804,86R00731,11265,MNBU3650425,4530,GTHA,D39539098,G02,G04
D,45536.00320601852,45536.01478009259,50H02856,26323805,51R12905,02856,TLLU8232499,2200,GTHA,D39539105,B04,B08
R,45536.003287037034,45536.02527777778,51C35759,26323806,51R15192,35759,BMOU9724586,4530,HBCX,R39538658,D01,G04
R,45536.00332175926,45536.050104166665,50H24710,26323807,50RM00127,24710,YMLU5391452,4530,HBQC,R39539107,D02,B08
R,45536.0034375,45536.048530092594,50H24782,26323808,50RM00166,24782,GCXU8004181,4530,HBQC,R39539109,D02,B08
D,45536.00344907407,45536.0225,51C97676,26323809,51R14360,97676,TRHU6318791,4500,GTHA,D39539108,B02,B08
R,45536.00361111111,45536.02893518518,51D40271,26323810,51R32354,40271,AAMU4006283,4530,HBCX,R39539110,D02,B08
