R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45597.000081018516,45597.01598379629,60H01791,26882613,60R01664,01791,SEGU5664439,4500,HBCX,R40433970,A01,B08
R,45597.00021990741,45597.01608796296,61H09792,26882614,61R06865,09792,WHSU2941671,2200,HBCX,R40433935,G02,G04
R,45597.00032407408,45597.012824074074,70H01282,26882615,50R04496,01282,CSNU1250771,2200,HBCX,R40433971,A03,A05
R,45597.000393518516,45597.0415162037,51D37952,26882616,51R14624,37952,SZLU2049173,2230,HBCX,R40433973,D02,B08
D,45597.000393518516,45597.04341435185,SM-105,26882617,51R08642,2377,TLLU3491028,2200,CAPR,E40434199,B02,E09
R,45597.000393518516,45597.04341435185,SM-105,26882617,51R08642,2377,SKHU9928956,4500,HBCX,R40433974,B02,E09
R,45597.00046296296,45597.01797453704,50H25247,26882618,51R31732,25247,TRHU5773002,4500,HBCX,R40433901,A03,E09
D,45597.00047453704,45597.028229166666,51C59086,26882619,51R16101,59086,HMCU9093489,4500,GTHA,D40433969,A03,B08
R,45597.00047453704,45597.028229166666,51C59086,26882619,51R16101,59086,FDCU0633605,4500,HBCX,R40433999,A03,B08
R,45597.00083333333,45597.04969907407,51D49138,26882620,51R22721,49138,TCKU6538294,4500,HBQC,R40433983,A01,B08
D,45597.00083333333,45597.04969907407,51D49138,26882620,51R22721,49138,IAAU1832864,4500,GTHA,D40433977,A01,B08
R,45597.000868055555,45597.01787037037,61C24920,26882621,61R03201,24920,FANU5006219,2200,HBCX,R40433979,B05,E09
R,45597.0009375,45597.04608796296,50H53503,26882622,51R06400,53503,SUDU5305151,4200,HBCX,R40433980,A03,A06
D,45597.0009375,45597.04608796296,50H53503,26882622,51R06400,53503,FFAU5968712,4500,GTHA,D40433987,A03,A06
D,45597.00100694445,45597.060324074075,70C15759,26882623,70R01778,15759,TRHU6083085,4500,GTHA,D40433978,A03,B08
D,45597.00101851852,45597.00357638889,70H01752,26882624,,01752,BEAU6337254,4500,CAPR,E40432747,E02,E09
D,45597.00121527778,45597.041041666664,61H05523,26882625,61R00365,05523,MATU2324982,4200,CAPR,E40433981,B02,B08
R,45597.00121527778,45597.041041666664,61H05523,26882625,61R00365,05523,SKLU2364364,2200,HBCX,R40433984,B02,B08
R,45597.00130787037,45597.02199074074,70C04780,26882626,70R00718,04780,TEMU2748229,2200,HBCX,R40433986,G02,B09
R,45597.00133101852,45597.0150462963,70H04448,26882627,70R02245,04448,CXDU1320329,2200,HBCX,R40433988,A01,B08
R,45597.00134259259,45597.03716435185,60H11529,26882628,60RM00077,11529,CCLU5266510,4200,HBCX,R40433975,B03,B08
D,45597.00134259259,45597.03716435185,60H11529,26882628,60RM00077,11529,SKLU1566632,2200,GTHA,D40433982,B03,B08
R,45597.001493055555,45597.013969907406,70C10338,26882629,70R01246,10338,OOLU1507698,2200,HBCX,R40433992,A03,A05
R,45597.00158564815,45597.01520833333,51D96424,26882630,50RM03503,96424,FCIU4953551,2200,HBCX,R40433989,B05,A06
